timestamp,detected_text,target_found
2025-09-03T23:13:02.700889,=> wr. a a,False
2025-09-03T23:13:03.755845,=,False
2025-09-03T23:13:04.569791,"2, il '\ gwar",False
2025-09-03T23:13:05.514563,oo We  S,False
2025-09-03T23:13:06.310189,-_ — Y,False
2025-09-03T23:13:07.073835,la,False
2025-09-03T23:13:08.128099,". , —— , — De ee Y x",False
2025-09-03T23:13:09.118794,~_ ox: . SS,False
2025-09-03T23:13:10.043627,a — Nii ‘NY eS 2 ( i o * :,False
2025-09-03T23:13:10.802590,i —_ ) — . Awe = y y,False
2025-09-03T23:13:11.816547,eat,False
2025-09-03T23:13:13.016329,eet a,False
2025-09-03T23:13:13.760546,,False
2025-09-03T23:13:14.642651,-_ oN ee,False
2025-09-03T23:13:15.520367,avs aN AIS,False
2025-09-03T23:13:16.300049,ae SS,False
2025-09-03T23:13:16.982772,BB joo,False
2025-09-03T23:13:17.904398,| = NS PARAS,False
2025-09-03T23:13:18.547576,,False
2025-09-03T23:13:19.265563,,False
2025-09-03T23:13:19.914324,,False
2025-09-03T23:13:20.733734,WN,False
2025-09-03T23:13:21.452860,p > ; = « . 4 I v - 5,False
2025-09-03T23:13:22.291914,"4 Y, ~~ va A¥ ~~ & = |e | “at = . = te — ee me, sS om ei) =n. ae",False
2025-09-03T23:13:23.582422,SS BARAT EIN oe ! : ar 4 . [ef] | BEA ~ ¥ p - a as = Pd =| awe Os,False
2025-09-03T23:13:24.933931,"= a . : si . SEALED ES BEES ED ES? . SS] Reo Se = fof /~<S os Pe ee et k= Bh] or \ dete. ge"" > : sty. j= Pars = q & < > *: 4 So a Eom t= Ease I a NVI | : SF — SY aa SYS Se D245 + % =",False
2025-09-03T23:13:26.161561,RSA BA FA DAES EERE aig; fp] es ~ al a Ale Cea 5 wa > oe s 4 Es = I OS BA as \ Ee a | oe / fet \ NOR = 4 p< |] R\ ! 3 a S / i a nei 1 Si >a: & ~— »& .,False
2025-09-03T23:13:27.273010,a -  — os BBL BA 2 5 SS EES EE = : ae P z TS} I wa AS Sa : res > | Te eS eer a | et ISI | | 22S | w \f | S,False
2025-09-03T23:13:28.801281,"~ N Y, ¥ J wo Pa ADA BA PA PA EH ED E . AS BAALATTNSISININIEARINSININNSSS SS See =] Ae SS Se - a | ey par - ~ a: a. . oe fe] || RTS oq \ EO ONT aaa, fF Se a we FA Sye ps ? Sy : 445] fe eS — eS 3 ) =e Ss] P< > ; a ae > yee ou ww 7) a ~ |  * ng 1 Si ew -",False
2025-09-03T23:13:30.405232,"a] : = ‘A ~ ~ : aA 2 ae s A BA BR ee BB Eo Be Vs | | <2 PAAR te a= Se ‘ fo = fe at fs} ||) a TS ae VS. aad = ieee >< z = ¥ >a “ iy, {> es mFS z ES * zs i >! . ¢ = | ate 7 2 y \ eS ane pain",False
2025-09-03T23:13:32.005263,"=! fi LN ate SSS ——— —— = ————— a £4 2 a G6 2... ed 0 0A 09, WASNT es es Ss] pe = TS] | See oe Soe 2 ES, ~ et fe] || 72 Cg as wa a aig = My ~ Se — = im — ~ ae SI = a IS as NG 7 ) Sas > [>] | | £2 Say \ 22 SFE SD —] Se »D« co = ee TSI ee OK > E a = Mt ISS} | | 22a TG ‘eQq as ge Li - >a? = ”",False
2025-09-03T23:13:33.290370,"EG . 2 N, Yq ¥ ve r su v LSA SA Ee -o 3.4. slp {AAO Tye BS A eB I ee S Ss] Peo on Cag ¥ engl =k - >« — ie po 4 =. . oT 2 eo Ns tee SS] |) BA ecw \ Ae Sa y) : se f—] | ay wy) —< ig . IS] Ne .— a",False
2025-09-03T23:13:34.671264,i a [EGE IGEG es: Savas j eee : * —— pe >= = a a | _ — a ee a —<. : md I>] |. BATS eg \ > as a oe b> & : ef “ > I.\ I = we AS pee & wa fe,False
2025-09-03T23:13:35.993871,"ys A BL Bc Le ee Bo, Eo pe FS} | SS eer - 5 ai FS] PX > ye > pe a. , : ¥ & & < > | i se Ah RAMI wR a LE | eS ai = E ca 7 \ he | se TS] | | 22k | cy . ae: | . >. « Aaa = ss J",False
2025-09-03T23:13:37.746136,"an! oe E E ee ‘ @ (EEA EL EO EE 8 SS | ae ee a n met fs} || HATE ay \R rx 5 a al mK 3 é ~~ Sica me set SS] PM oo —e . — >a 7 > ——. ef {4 | >: or se 5 Re > [I me, “ay aT “FS SS < —?) Se >« a ge : ee =] | a wn es » ae =~ on ! ia > | 7 € —I \ = KAS Pet Ns “ it I’ pw 2 4 =",False
2025-09-03T23:13:38.986036,": ae f 4 = SS PAB SS Se oa at oe aa nv ee [SS] ‘om pa =o at wv. es ~ ai [SS] P< > ain eH = FS) || BA 7. wee \ BS <~y ef] PM > aa ig a Sl |, Ko TR Oe | BANS Weds",False
2025-09-03T23:13:40.368092,al / 4 » 5 A BA BL Le ee OE ES TS] | Fs ae wr = a> = A Es. ‘ 3 “ » F pe > al ES pe ~~ Le Sie > = Ps ees : 7 » =. sd FS] || kT egy \E | eee \ —ppl LT Wie paw F amare,False
2025-09-03T23:13:41.214615,"erg tae Some: * sy = 9 2 — oe te te i : > i al a VL a ¢ i a ,",False
2025-09-03T23:13:42.227341,|,False
2025-09-03T23:13:43.185362,"~~ = — i i— oe — = is <, 7 S Pe : aa a ea a eae ai : aoe & a",False
2025-09-03T23:13:43.995659,es ~ ~,False
2025-09-03T23:13:44.683465,=,False
2025-09-03T23:13:45.398971,aa ee): q ip 4 _ 7 a - y a ae ec Se ee ae |,False
2025-09-03T23:13:46.125227,"a é 4 t ; = - i ee ee = eo ee ee "" * oa te",False
2025-09-03T23:13:46.788639,» E t 4 ‘ y q,False
2025-09-03T23:13:47.474806,aoe ws = 2,False
2025-09-03T23:13:48.168938,: a,False
2025-09-03T23:13:48.868708,' | F ksi,False
2025-09-03T23:13:49.810530,,False
2025-09-03T23:13:50.691227,S|,False
2025-09-03T23:13:51.368878,-,False
2025-09-03T23:13:52.214628,- | |,False
2025-09-03T23:13:53.285252,s |,False
2025-09-03T23:13:53.879773,ae,False
2025-09-03T23:13:54.766719,2 |,False
2025-09-03T23:13:55.668480,s |,False
2025-09-03T23:13:56.679869,Sf |,False
2025-09-03T23:13:57.639953,ae -& | s > oi,False
2025-09-03T23:13:58.654406,ss |,False
2025-09-03T23:13:59.565082,—,False
2025-09-03T23:14:00.200384,,False
2025-09-03T23:14:00.848988,,False
2025-09-03T23:14:01.412722,- 7,False
2025-09-03T23:14:02.067039,¢ | ; fi x4,False
2025-09-03T23:14:02.782603,a 7 “ais 4 .,False
2025-09-03T23:14:03.590891,a | é _~,False
2025-09-03T23:14:04.374914,ae — ao ae a = 5) ze in : . = : -*,False
